name,gb,gddr,price,link
MSI GeForce RTX 2060 VENTUS OC 12GB GDDR6,12,GDDR6,479.95,https://www.pccomponentes.com/msi-geforce-rtx-2060-ventus-oc-12gb-gddr6
Asus Phoenix Radeon RX 550 4GB GDDR5,4,GDDR5,150.91,https://www.pccomponentes.com/asus-phoenix-radeon-rx-550-4gb-gddr5
PNY NVIDIA T400 2GB GDDR6,2,GDDR6,131.04,https://www.pccomponentes.com/pny-nvidia-t400-2gb-gddr6
Zotac Gaming Geforce RTX 3070 Twin Edge OC LHR 8GB GDDR6,8,GDDR6,755.06,https://www.pccomponentes.com/zotac-gaming-geforce-rtx-3070-twin-edge-oc-lhr-8gb-gddr6
Asus TUF Gaming GeForce GTX 1650 OC Edition 4GB GDDR6,4,GDDR6,254.31,https://www.pccomponentes.com/asus-tuf-gaming-geforce-gtx-1650-oc-edition-4gb-gddr6
PowerColor FIGHTER AMD Radeon RX 6600 8GB GDDR6,8,GDDR6,506.46,https://www.pccomponentes.com/powercolor-fighter-amd-radeon-rx-6600-8gb-gddr6
MSI GeForce RTX 3090 GAMING X TRIO 24GB GDDR6X,24,GDDR6X,2526.12,https://www.pccomponentes.com/msi-geforce-rtx-3090-gaming-x-trio-24gb-gddr6x
Gigabyte GeForce GT 730 2GB GDDR5,2,GDDR5,89.22,https://www.pccomponentes.com/gigabyte-geforce-gt-730-2gb-gddr5
Gigabyte GeForce RTX 3080 Ti GAMING OC 12GB GDDR6X,12,GDDR6X,1675.47,https://www.pccomponentes.com/gigabyte-geforce-rtx-3080-ti-gaming-oc-12gb-gddr6x
Asus TUF Gaming GeForce GTX 1650 4 GB GDDR6,4,GDDR6,250.91,https://www.pccomponentes.com/asus-tuf-gaming-geforce-gtx-1650-4-gb-gddr6
MSI GT 1030 2GHD4 LP OC 2GB DDR4,2,DDR4,113.41,https://www.pccomponentes.com/msi-gt-1030-2ghd4-lp-oc-2gb-ddr4
Asus GeForce GTX 1660 Phoenix SUPER OC 6GB GDDR6,6,GDDR6,349.16,https://www.pccomponentes.com/asus-geforce-gtx-1660-phoenix-super-oc-6gb-gddr6
Biostar VN6103THX6 GeForce GT610 2GB DDR3,2,DDR3,66.8,https://www.pccomponentes.com/biostar-vn6103thx6-geforce-gt610-2gb-ddr3
Gigabyte GeForce RTX 3090 Gaming OC 24G 24GB GDDR6X,24,GDDR6X,2701.6,https://www.pccomponentes.com/gigabyte-geforce-rtx-3090-gaming-oc-24g-24gb-gddr6x
MSI AMD Radeon RX 6600 MECH 2X 8GB GDDR6,8,GDDR6,418.06,https://www.pccomponentes.com/msi-amd-radeon-rx-6600-mech-2x-8gb-gddr6
